x,y,v
0,0,-4
0,5,-3
0,10,-1
0,15,2
0,20,3
0,25,5
0,30,8
0,35,9
0,40,11
0,45,10
0,50,10
0,55,8
0,60,5
0,65,3
0,70,1
0,75,-1
0,80,-3
0,85,-4
0,90,-4
0,95,-5
5,0,-3
5,5,-1
5,10,0
5,15,2
5,20,6
5,25,10
5,30,12
5,35,14
5,40,16
5,45,16
5,50,14
5,55,12
5,60,9
5,65,6
5,70,3
5,75,0
5,80,-3
5,85,-4
5,90,-5
5,95,-5
10,0,-2
10,5,-2
10,10,1
10,15,4
10,20,8
10,25,13
10,30,15
10,35,18
10,40,18
10,45,18
10,50,16
10,55,15
10,60,12
10,65,8
10,70,4
10,75,1
10,80,-4
10,85,-5
10,90,-7
10,95,-7
15,0,-2
15,5,-2
15,10,1
15,15,5
15,20,8
15,25,11
15,30,14
15,35,15
15,40,16
15,45,16
15,50,15
15,55,13
15,60,10
15,65,7
15,70,2
15,75,-1
15,80,-4
15,85,-5
15,90,-7
15,95,-7
20,0,-3
20,5,-2
20,10,1
20,15,3
20,20,5
20,25,7
20,30,8
20,35,10
20,40,9
20,45,8
20,50,8
20,55,6
20,60,5
20,65,3
20,70,0
20,75,-3
20,80,-6
20,85,-7
20,90,-7
20,95,-8
25,0,-3
25,5,-3
25,10,-1
25,15,1
25,20,2
25,25,2
25,30,2
25,35,2
25,40,2
25,45,2
25,50,1
25,55,0
25,60,-1
25,65,-2
25,70,-5
25,75,-6
25,80,-7
25,85,-7
25,90,-7
25,95,-8
30,0,-2
30,5,-2
30,10,-2
30,15,-2
30,20,-2
30,25,-3
30,30,-3
30,35,-3
30,40,-4
30,45,-5
30,50,-5
30,55,-6
30,60,-6
30,65,-7
30,70,-7
30,75,-8
30,80,-7
30,85,-7
30,90,-7
30,95,-6
35,0,0
35,5,-1
35,10,-2
35,15,-3
35,20,-5
35,25,-6
35,30,-8
35,35,-8
35,40,-9
35,45,-10
35,50,-10
35,55,-10
35,60,-11
35,65,-11
35,70,-9
35,75,-9
35,80,-7
35,85,-5
35,90,-5
35,95,-5
40,0,1
40,5,-1
40,10,-2
40,15,-4
40,20,-6
40,25,-9
40,30,-11
40,35,-12
40,40,-13
40,45,-14
40,50,-15
40,55,-15
40,60,-14
40,65,-13
40,70,-10
40,75,-8
40,80,-6
40,85,-4
40,90,-4
40,95,-3
45,0,2
45,5,1
45,10,-2
45,15,-3
45,20,-7
45,25,-10
45,30,-13
45,35,-14
45,40,-16
45,45,-17
45,50,-17
45,55,-17
45,60,-15
45,65,-13
45,70,-11
45,75,-7
45,80,-4
45,85,-3
45,90,-2
45,95,-1
50,0,3
50,5,2
50,10,-1
50,15,-4
50,20,-7
50,25,-10
50,30,-13
50,35,-16
50,40,-17
50,45,-18
50,50,-18
50,55,-16
50,60,-14
50,65,-12
50,70,-8
50,75,-5
50,80,-4
50,85,-1
50,90,0
50,95,0
55,0,4
55,5,2
55,10,0
55,15,-2
55,20,-6
55,25,-9
55,30,-12
55,35,-14
55,40,-15
55,45,-16
55,50,-15
55,55,-14
55,60,-12
55,65,-9
55,70,-6
55,75,-3
55,80,-1
55,85,0
55,90,1
55,95,2
60,0,3
60,5,3
60,10,2
60,15,-1
60,20,-3
60,25,-5
60,30,-8
60,35,-10
60,40,-12
60,45,-11
60,50,-11
60,55,-10
60,60,-8
60,65,-6
60,70,-4
60,75,-1
60,80,0
60,85,1
60,90,2
60,95,2
65,0,3
65,5,2
65,10,1
65,15,1
65,20,-1
65,25,-3
65,30,-4
65,35,-6
65,40,-7
65,45,-7
65,50,-7
65,55,-4
65,60,-4
65,65,-3
65,70,0
65,75,0
65,80,1
65,85,1
65,90,2
65,95,2
70,0,3
70,5,3
70,10,3
70,15,0
70,20,1
70,25,0
70,30,-1
70,35,-2
70,40,-2
70,45,-3
70,50,-2
70,55,-3
70,60,-1
70,65,0
70,70,1
70,75,1
70,80,2
70,85,2
70,90,1
70,95,2
75,0,2
75,5,2
75,10,2
75,15,1
75,20,2
75,25,0
75,30,0
75,35,1
75,40,0
75,45,0
75,50,0
75,55,0
75,60,0
75,65,1
75,70,1
75,75,2
75,80,1
75,85,2
75,90,2
75,95,1
80,0,3
80,5,2
80,10,2
80,15,1
80,20,2
80,25,1
80,30,1
80,35,1
80,40,2
80,45,2
80,50,1
80,55,0
80,60,2
80,65,2
80,70,1
80,75,1
80,80,1
80,85,2
80,90,1
80,95,2
85,0,1
