x,y,v
0,0,-6
0,5,-9
0,10,-13
0,15,-17
0,20,-22
0,25,-26
0,30,-31
0,35,-37
0,40,-40
0,45,-44
0,50,-47
0,55,-50
0,60,-49
0,65,-49
0,70,-47
0,75,-43
0,80,-39
0,85,-33
0,90,-28
0,95,-20
0,100,-12
0,105,-7
0,110,0
0,115,7
0,120,12
0,125,17
0,130,21
0,135,24
0,140,30
0,145,32
5,0,-9
5,5,-14
5,10,-20
5,15,-27
5,20,-34
5,25,-42
5,30,-50
5,35,-57
5,40,-65
5,45,-71
5,50,-76
5,55,-79
5,60,-81
5,65,-82
5,70,-79
5,75,-74
5,80,-68
5,85,-61
5,90,-50
5,95,-40
5,100,-29
5,105,-20
5,110,-9
5,115,0
5,120,7
5,125,15
5,130,21
5,135,26
5,140,29
5,145,31
10,0,-18
10,5,-26
10,10,-35
10,15,-44
10,20,-55
10,25,-67
10,30,-78
10,35,-91
10,40,-102
10,45,-112
10,50,-120
10,55,-127
10,60,-130
10,65,-130
10,70,-128
10,75,-121
10,80,-113
10,85,-102
10,90,-88
10,95,-73
10,100,-57
10,105,-44
10,110,-29
10,115,-16
10,120,-4
10,125,5
10,130,13
10,135,21
10,140,27
10,145,29
15,0,-30
15,5,-41
15,10,-53
15,15,-66
15,20,-82
15,25,-98
15,30,-116
15,35,-132
15,40,-149
15,45,-163
15,50,-176
15,55,-186
15,60,-192
15,65,-194
15,70,-190
15,75,-182
15,80,-171
15,85,-156
15,90,-137
15,95,-117
15,100,-95
15,105,-76
15,110,-56
15,115,-36
15,120,-19
15,125,-6
15,130,6
15,135,16
15,140,23
15,145,27
20,0,-44
20,5,-58
20,10,-73
20,15,-92
20,20,-112
20,25,-134
20,30,-158
20,35,-180
20,40,-203
20,45,-225
20,50,-243
20,55,-257
20,60,-265
20,65,-268
20,70,-265
20,75,-255
20,80,-240
20,85,-223
20,90,-197
20,95,-171
20,100,-142
20,105,-115
20,110,-87
20,115,-62
20,120,-39
20,125,-22
20,130,-4
20,135,9
20,140,18
20,145,24
25,0,-58
25,5,-76
25,10,-97
25,15,-120
25,20,-147
25,25,-175
25,30,-206
25,35,-236
25,40,-267
25,45,-293
25,50,-317
25,55,-335
25,60,-347
25,65,-350
25,70,-347
25,75,-336
25,80,-317
25,85,-295
25,90,-264
25,95,-230
25,100,-193
25,105,-159
25,110,-124
25,115,-91
25,120,-61
25,125,-38
25,130,-17
25,135,0
25,140,13
25,145,19
30,0,-72
30,5,-94
30,10,-119
30,15,-148
30,20,-181
30,25,-215
30,30,-254
30,35,-291
30,40,-328
30,45,-359
30,50,-388
30,55,-409
30,60,-422
30,65,-427
30,70,-424
30,75,-412
30,80,-389
30,85,-363
30,90,-328
30,95,-288
30,100,-246
30,105,-203
30,110,-161
30,115,-120
30,120,-84
30,125,-55
30,130,-29
30,135,-8
30,140,8
30,145,15
35,0,-85
35,5,-110
35,10,-140
35,15,-174
35,20,-212
35,25,-251
35,30,-295
35,35,-338
35,40,-380
35,45,-415
35,50,-447
35,55,-451
35,60,-451
35,65,-451
35,70,-451
35,75,-451
35,80,-448
35,85,-419
35,90,-381
35,95,-337
35,100,-289
35,105,-242
35,110,-193
35,115,-146
35,120,-104
35,125,-71
35,130,-41
35,135,-16
35,140,2
35,145,11
40,0,-94
40,5,-122
40,10,-154
40,15,-191
40,20,-233
40,25,-276
40,30,-325
40,35,-371
40,40,-416
40,45,-450
40,50,-450
40,55,-451
40,60,-450
40,65,-450
40,70,-451
40,75,-450
40,80,-451
40,85,-451
40,90,-420
40,95,-373
40,100,-320
40,105,-271
40,110,-218
40,115,-166
40,120,-120
