x,y,v
0,0,1
0,2,1
0,4,1
0,6,0
0,8,0
0,10,1
0,12,0
0,14,0
0,16,0
0,18,0
0,20,0
0,22,0
0,24,0
0,26,0
0,28,0
0,30,0
0,32,0
0,34,0
0,36,-1
0,38,0
0,40,0
0,42,-1
0,44,-1
0,46,-1
0,48,-1
0,50,-1
0,52,-1
0,54,-1
0,56,-1
0,58,-1
0,60,-1
0,62,-1
0,64,-1
0,66,-1
0,68,-2
0,70,-1
0,72,-2
0,74,-2
0,76,-2
0,78,-2
0,80,-2
0,82,-2
0,84,-2
0,86,-2
0,88,-2
0,90,-2
0,92,-2
0,94,-2
0,96,-2
0,98,-2
0,100,-2
0,102,-2
0,104,-2
0,106,-2
0,108,-2
0,110,-1
0,112,-2
0,114,-1
0,116,-2
0,118,-1
0,120,-1
0,122,-1
0,124,-1
0,126,-1
0,128,-1
0,130,-1
0,132,-1
0,134,-1
0,136,-1
0,138,-1
0,140,0
0,142,0
0,144,0
0,146,0
0,148,0
2,0,1
2,2,1
2,4,1
2,6,1
2,8,1
2,10,1
2,12,1
2,14,1
2,16,0
2,18,0
2,20,0
2,22,0
2,24,0
2,26,0
2,28,0
2,30,0
2,32,0
2,34,0
2,36,0
2,38,0
2,40,0
2,42,-1
2,44,0
2,46,-1
2,48,-1
2,50,-1
2,52,-1
2,54,-1
2,56,-1
2,58,-1
2,60,-1
2,62,-1
2,64,-1
2,66,-1
2,68,-1
2,70,-1
2,72,-1
2,74,-1
2,76,-1
2,78,-2
2,80,-2
2,82,-2
2,84,-2
2,86,-1
2,88,-2
2,90,-2
2,92,-2
2,94,-2
2,96,-2
2,98,-2
2,100,-2
2,102,-2
2,104,-1
2,106,-2
2,108,-1
2,110,-1
2,112,-2
2,114,-1
2,116,-1
2,118,-1
2,120,-1
2,122,-1
2,124,-1
2,126,-1
2,128,-1
2,130,-1
2,132,-1
2,134,-1
2,136,0
2,138,0
2,140,0
2,142,0
2,144,0
2,146,0
2,148,0
4,0,1
4,2,1
4,4,1
4,6,1
4,8,1
4,10,1
4,12,1
4,14,1
4,16,1
4,18,0
4,20,0
4,22,0
4,24,0
4,26,0
4,28,0
4,30,0
4,32,0
4,34,0
4,36,0
4,38,0
4,40,0
4,42,0
4,44,0
4,46,-1
4,48,-1
4,50,0
4,52,-1
4,54,-1
4,56,-1
4,58,-1
4,60,-1
4,62,-1
4,64,-1
4,66,-1
4,68,-1
4,70,-1
4,72,-1
4,74,-1
4,76,-1
4,78,-1
4,80,-1
4,82,-1
4,84,-1
4,86,-1
4,88,-1
4,90,-1
4,92,-1
4,94,-1
4,96,-1
4,98,-1
4,100,-1
4,102,-1
4,104,-1
4,106,-1
4,108,-1
4,110,-1
4,112,-1
4,114,-1
4,116,-1
4,118,-1
4,120,-1
4,122,-1
4,124,-1
4,126,-1
4,128,-1
4,130,-1
4,132,0
4,134,-1
4,136,-1
4,138,0
4,140,0
4,142,0
4,144,0
4,146,0
4,148,0
6,0,1
6,2,1
6,4,1
6,6,1
6,8,1
6,10,1
6,12,1
6,14,1
6,16,1
6,18,1
6,20,0
6,22,0
6,24,0
6,26,0
6,28,0
6,30,0
6,32,0
6,34,0
6,36,0
6,38,0
6,40,0
6,42,0
6,44,0
6,46,0
6,48,0
6,50,-1
6,52,0
6,54,-1
6,56,-1
6,58,0
6,60,-1
6,62,-1
6,64,0
6,66,-1
6,68,-1
6,70,-1
6,72,-1
6,74,-1
6,76,-1
6,78,-1
6,80,-1
6,82,-1
6,84,-1
6,86,-1
6,88,-1
6,90,-1
6,92,-1
6,94,-1
6,96,-1
6,98,-1
6,100,-1
6,102,-1
6,104,-1
6,106,-1
6,108,-1
6,110,-1
6,112,-1
6,114,-1
6,116,-1
6,118,-1
6,120,-1
6,122,-1
6,124,-1
6,126,-1
6,128,-1
6,130,-1
6,132,-1
6,134,0
6,136,0
6,138,0
6,140,0
6,142,0
6,144,0
6,146,0
6,148,0
8,0,1
8,2,1
8,4,1
8,6,1
8,8,1
8,10,1
8,12,1
8,14,1
8,16,1
8,18,1
8,20,1
8,22,1
8,24,1
8,26,0
8,28,0
8,30,0
8,32,0
8,34,0
8,36,0
8,38,0
8,40,0
8,42,0
8,44,0
8,46,0
8,48,0
8,50,0
8,52,0
8,54,0
8,56,0
8,58,0
8,60,0
8,62,0
8,64,0
8,66,0
8,68,0
8,70,0
8,72,0
8,74,0
8,76,0
8,78,0
8,80,0
8,82,-1
8,84,-1
8,86,-1
8,88,-1
8,90,-1
8,92,-1
8,94,-1
8,96,-1
8,98,-1
8,100,-1
8,102,-1
8,104,-1
8,106,-1
8,108,-1
8,110,-1
8,112,-1
8,114,-1
8,116,-1
8,118,-1
8,120,-1
8,122,-1
8,124,0
8,126,0
8,128,0
8,130,0
8,132,0
8,134,0
8,136,0
8,138,0
8,140,0
8,142,0
8,144,0
8,146,0
8,148,0
10,0,1
10,2,2
10,4,1
10,6,2
10,8,1
10,10,1
10,12,1
10,14,1
10,16,1
10,18,1
10,20,1
10,22,1
10,24,1
10,26,1
10,28,1
10,30,0
10,32,1
10,34,0
10,36,1
10,38,1
10,40,0
10,42,0
10,44,0
10,46,0
10,48,0
10,50,0
10,52,0
10,54,0
10,56,0
10,58,0
10,60,0
10,62,0
10,64,0
10,66,0
10,68,0
10,70,0
10,72,0
10,74,0
10,76,0
10,78,0
10,80,0
10,82,0
10,84,0
10,86,0
10,88,0
10,90,0
10,92,0
10,94,0
10,96,0
10,98,0
10,100,0
10,102,0
10,104,0
10,106,0
10,108,0
10,110,0
10,112,0
10,114,0
10,116,0
10,118,0
10,120,0
10,122,0
10,124,0
10,126,0
10,128,0
10,130,0
10,132,0
10,134,0
10,136,0
10,138,0
10,140,0
10,142,0
10,144,0
10,146,0
10,148,0
12,0,2
12,2,2
12,4,2
12,6,2
12,8,1
12,10,1
12,12,1
12,14,1
12,16,1
12,18,1
12,20,1
12,22,1
12,24,1
12,26,1
12,28,1
12,30,1
12,32,1
12,34,1
12,36,1
12,38,1
12,40,1
12,42,1
12,44,1
12,46,1
12,48,1
12,50,1
12,52,1
12,54,1
12,56,1
12,58,1
12,60,1
12,62,1
12,64,1
12,66,1
12,68,1
12,70,1
12,72,1
12,74,1
12,76,1
12,78,1
12,80,1
12,82,1
12,84,1
12,86,1
12,88,1
12,90,1
12,92,1
12,94,1
12,96,1
12,98,1
12,100,1
12,102,1
12,104,1
12,106,1
12,108,0
12,110,0
12,112,0
12,114,0
12,116,0
12,118,0
12,120,0
12,122,0
12,124,0
12,126,0
12,128,0
12,130,0
12,132,0
12,134,0
12,136,0
12,138,0
12,140,0
12,142,0
12,144,0
12,146,0
12,148,1
14,0,2
14,2,2
14,4,1
14,6,2
14,8,1
14,10,1
14,12,2
14,14,2
14,16,1
14,18,1
14,20,1
14,22,1
14,24,1
14,26,1
14,28,1
14,30,1
14,32,1
14,34,1
14,36,1
14,38,1
14,40,1
14,42,1
14,44,1
14,46,1
14,48,1
14,50,1
14,52,1
14,54,1
14,56,1
14,58,1
14,60,1
14,62,2
14,64,2
14,66,2
14,68,2
14,70,2
14,72,2
14,74,2
14,76,2
14,78,2
14,80,2
14,82,2
14,84,2
14,86,2
14,88,2
14,90,2
14,92,2
14,94,2
14,96,2
14,98,2
14,100,2
14,102,2
14,104,2
14,106,1
14,108,1
14,110,1
14,112,1
14,114,1
14,116,1
14,118,1
14,120,1
14,122,1
14,124,1
14,126,1
14,128,0
14,130,0
14,132,0
14,134,0
14,136,1
14,138,0
14,140,1
14,142,1
14,144,1
14,146,1
14,148,1
16,0,2
16,2,2
16,4,2
16,6,2
16,8,2
16,10,1
16,12,1
16,14,2
16,16,2
16,18,1
16,20,1
16,22,2
16,24,1
16,26,1
16,28,1
16,30,2
16,32,2
16,34,1
16,36,1
16,38,1
16,40,2
16,42,1
16,44,2
16,46,2
16,48,2
16,50,2
16,52,2
16,54,2
16,56,2
16,58,2
16,60,2
16,62,2
16,64,3
16,66,3
16,68,3
16,70,3
16,72,3
16,74,3
16,76,3
16,78,3
16,80,3
16,82,4
16,84,3
16,86,3
16,88,3
16,90,3
16,92,3
16,94,3
16,96,3
16,98,3
16,100,3
16,102,2
16,104,2
16,106,2
16,108,2
16,110,2
16,112,2
16,114,2
16,116,2
16,118,2
16,120,1
16,122,1
16,124,1
16,126,1
16,128,1
16,130,1
16,132,1
16,134,1
16,136,1
16,138,1
16,140,1
16,142,1
16,144,1
16,146,1
16,148,1
18,0,2
18,2,2
18,4,2
18,6,2
18,8,2
18,10,2
18,12,2
18,14,2
18,16,2
18,18,2
18,20,2
18,22,2
18,24,2
18,26,2
18,28,2
18,30,2
18,32,2
18,34,2
18,36,2
18,38,2
18,40,2
18,42,2
18,44,2
18,46,3
18,48,3
18,50,3
18,52,3
18,54,3
18,56,3
18,58,3
18,60,4
18,62,4
18,64,4
18,66,4
18,68,4
18,70,4
18,72,5
18,74,5
18,76,5
18,78,5
18,80,5
18,82,5
18,84,5
18,86,5
18,88,5
18,90,5
18,92,5
18,94,5
18,96,5
18,98,5
18,100,4
18,102,4
18,104,4
18,106,4
18,108,3
18,110,3
18,112,3
18,114,3
18,116,3
18,118,2
18,120,2
18,122,2
18,124,2
18,126,2
18,128,2
18,130,1
18,132,2
18,134,1
18,136,1
18,138,1
18,140,1
18,142,1
18,144,1
18,146,1
18,148,1
20,0,2
20,2,2
20,4,2
20,6,2
20,8,2
20,10,2
20,12,2
20,14,2
20,16,2
20,18,2
20,20,2
20,22,2
20,24,2
20,26,2
20,28,2
20,30,2
20,32,2
20,34,2
20,36,2
20,38,3
20,40,3
20,42,3
20,44,3
20,46,3
20,48,3
20,50,4
20,52,4
20,54,4
20,56,4
20,58,5
20,60,5
20,62,5
20,64,6
20,66,6
20,68,6
20,70,6
20,72,6
20,74,7
20,76,7
20,78,7
20,80,7
20,82,7
20,84,7
20,86,7
20,88,7
20,90,7
20,92,7
20,94,7
20,96,7
20,98,6
20,100,6
20,102,6
20,104,6
20,106,5
20,108,5
20,110,5
20,112,4
20,114,4
20,116,4
20,118,3
20,120,3
20,122,3
20,124,3
20,126,2
20,128,2
20,130,2
20,132,2
20,134,2
20,136,2
20,138,2
20,140,2
20,142,1
20,144,2
20,146,1
20,148,1
22,0,2
22,2,2
22,4,2
22,6,2
22,8,2
22,10,2
22,12,2
22,14,2
22,16,2
22,18,2
22,20,2
22,22,2
22,24,2
22,26,2
22,28,3
22,30,2
22,32,3
22,34,3
22,36,3
22,38,3
22,40,3
22,42,4
22,44,4
22,46,4
22,48,5
22,50,5
22,52,5
22,54,5
22,56,6
22,58,6
22,60,7
22,62,7
22,64,7
22,66,8
22,68,8
22,70,9
22,72,9
22,74,9
22,76,10
22,78,10
22,80,10
22,82,10
22,84,10
22,86,10
22,88,10
22,90,10
22,92,9
22,94,9
22,96,9
22,98,9
22,100,8
22,102,8
22,104,8
22,106,7
22,108,7
22,110,6
22,112,6
22,114,6
22,116,5
22,118,5
22,120,4
22,122,4
22,124,4
22,126,3
22,128,3
22,130,3
22,132,3
22,134,3
22,136,2
22,138,2
22,140,2
22,142,2
22,144,2
22,146,2
22,148,2
24,0,2
24,2,2
24,4,2
24,6,2
24,8,2
24,10,2
24,12,2
24,14,2
24,16,3
24,18,2
24,20,3
24,22,2
24,24,3
24,26,3
24,28,3
24,30,3
24,32,3
24,34,3
24,36,4
24,38,4
24,40,4
24,42,4
24,44,5
24,46,5
24,48,6
24,50,6
24,52,7
24,54,7
24,56,8
24,58,8
24,60,9
24,62,9
24,64,10
24,66,10
24,68,11
24,70,11
24,72,12
24,74,12
24,76,12
24,78,13
24,80,13
24,82,13
24,84,13
24,86,13
24,88,13
24,90,13
24,92,13
24,94,12
24,96,12
24,98,11
24,100,11
24,102,11
24,104,10
24,106,10
24,108,9
24,110,8
24,112,8
24,114,7
24,116,7
24,118,6
24,120,6
24,122,5
24,124,5
24,126,4
24,128,4
24,130,4
24,132,3
24,134,3
24,136,3
24,138,3
24,140,2
24,142,2
24,144,2
24,146,2
24,148,2
26,0,3
26,2,2
26,4,2
26,6,2
26,8,3
26,10,2
26,12,3
26,14,3
26,16,3
26,18,3
26,20,3
26,22,3
26,24,3
26,26,3
26,28,3
26,30,4
26,32,4
26,34,4
26,36,4
26,38,5
26,40,5
26,42,6
26,44,6
26,46,7
26,48,7
26,50,8
26,52,8
26,54,9
26,56,10
26,58,10
26,60,11
26,62,12
26,64,12
26,66,13
26,68,14
26,70,14
26,72,15
26,74,15
26,76,16
26,78,16
26,80,17
26,82,17
26,84,17
26,86,17
26,88,17
26,90,17
26,92,16
26,94,16
26,96,15
26,98,15
26,100,14
26,102,14
26,104,13
26,106,12
26,108,12
26,110,11
26,112,10
26,114,9
26,116,9
26,118,8
26,120,7
26,122,7
26,124,6
26,126,6
26,128,5
26,130,5
26,132,4
26,134,4
26,136,4
26,138,4
26,140,3
26,142,3
26,144,3
26,146,3
26,148,2
28,0,3
28,2,3
28,4,3
28,6,3
28,8,3
28,10,3
28,12,3
28,14,3
28,16,3
28,18,3
28,20,3
28,22,4
28,24,3
28,26,4
28,28,4
28,30,4
28,32,4
28,34,5
28,36,5
28,38,6
28,40,6
28,42,7
28,44,7
28,46,8
28,48,9
28,50,10
28,52,10
28,54,11
28,56,12
28,58,13
28,60,14
28,62,14
28,64,15
28,66,16
28,68,17
28,70,18
28,72,19
28,74,19
28,76,20
28,78,20
28,80,21
28,82,21
28,84,21
28,86,21
28,88,21
28,90,21
28,92,20
28,94,20
28,96,19
28,98,19
28,100,18
28,102,17
28,104,16
28,106,15
28,108,14
28,110,14
28,112,13
28,114,12
28,116,10
28,118,10
28,120,9
28,122,8
28,124,7
28,126,7
28,128,6
28,130,6
28,132,5
28,134,4
28,136,4
28,138,4
28,140,4
28,142,3
28,144,3
28,146,3
28,148,3
30,0,3
30,2,3
30,4,3
30,6,3
30,8,3
30,10,3
30,12,3
30,14,3
30,16,3
30,18,3
30,20,4
30,22,4
30,24,4
30,26,4
30,28,5
30,30,5
30,32,5
30,34,6
30,36,6
30,38,7
30,40,7
30,42,8
30,44,9
30,46,9
30,48,10
30,50,11
30,52,12
30,54,13
30,56,15
30,58,15
30,60,16
30,62,18
30,64,19
30,66,20
30,68,21
30,70,22
30,72,23
30,74,24
30,76,24
30,78,25
30,80,25
30,82,26
30,84,26
30,86,26
30,88,26
30,90,25
30,92,25
30,94,24
30,96,24
30,98,23
30,100,22
30,102,21
30,104,20
30,106,19
30,108,18
30,110,17
30,112,16
30,114,14
30,116,13
30,118,12
30,120,11
30,122,10
30,124,9
30,126,8
30,128,7
30,130,7
30,132,6
30,134,5
30,136,5
30,138,5
30,140,4
30,142,4
30,144,4
30,146,3
30,148,3
32,0,3
32,2,3
32,4,3
32,6,3
32,8,3
32,10,3
32,12,3
32,14,4
32,16,4
32,18,4
32,20,4
32,22,4
32,24,5
32,26,5
32,28,5
32,30,6
32,32,6
32,34,7
32,36,7
32,38,8
32,40,9
32,42,9
32,44,10
32,46,11
32,48,12
32,50,13
32,52,15
32,54,16
32,56,17
32,58,18
32,60,20
32,62,21
32,64,22
32,66,23
32,68,25
32,70,26
32,72,27
32,74,28
32,76,29
32,78,30
32,80,30
32,82,30
32,84,31
32,86,31
32,88,31
32,90,30
32,92,30
32,94,29
32,96,28
32,98,27
32,100,26
32,102,25
32,104,24
32,106,23
32,108,21
32,110,20
32,112,18
32,114,17
32,116,16
32,118,14
32,120,13
32,122,12
32,124,11
32,126,10
32,128,9
32,130,8
32,132,7
32,134,7
32,136,6
32,138,5
32,140,5
32,142,5
32,144,4
32,146,4
32,148,4
34,0,3
34,2,3
34,4,3
34,6,3
34,8,3
34,10,4
34,12,4
34,14,4
34,16,4
34,18,4
34,20,4
34,22,5
34,24,5
34,26,5
34,28,6
34,30,6
34,32,7
34,34,8
34,36,8
34,38,9
34,40,10
34,42,11
34,44,12
34,46,13
34,48,14
34,50,16
34,52,17
34,54,18
34,56,20
34,58,21
34,60,23
34,62,24
34,64,26
34,66,28
34,68,29
34,70,30
34,72,32
34,74,33
34,76,34
34,78,35
34,80,35
34,82,36
34,84,36
34,86,36
34,88,36
34,90,35
34,92,35
34,94,34
34,96,33
34,98,32
34,100,31
34,102,29
34,104,28
34,106,26
34,108,25
34,110,23
34,112,21
34,114,20
34,116,18
34,118,17
34,120,15
34,122,14
34,124,13
34,126,12
34,128,11
34,130,10
34,132,8
34,134,8
34,136,7
34,138,6
34,140,6
34,142,5
34,144,5
34,146,5
34,148,4
36,0,3
36,2,3
36,4,3
36,6,4
36,8,3
36,10,4
36,12,4
36,14,4
36,16,4
36,18,5
36,20,5
36,22,5
36,24,5
36,26,6
36,28,7
36,30,7
36,32,8
36,34,8
36,36,9
36,38,10
36,40,11
36,42,12
36,44,13
36,46,15
36,48,16
36,50,18
36,52,19
36,54,21
36,56,23
36,58,24
36,60,26
36,62,28
36,64,30
36,66,31
36,68,33
36,70,35
36,72,36
36,74,38
36,76,39
36,78,40
36,80,40
36,82,41
36,84,41
36,86,41
36,88,41
36,90,41
36,92,40
36,94,39
36,96,38
36,98,37
36,100,35
36,102,34
36,104,32
36,106,31
36,108,28
36,110,26
36,112,24
36,114,23
36,116,21
36,118,19
36,120,18
36,122,16
36,124,15
36,126,13
36,128,12
36,130,11
36,132,10
36,134,9
36,136,8
36,138,7
36,140,7
36,142,6
36,144,6
36,146,5
36,148,5
38,0,3
38,2,4
38,4,3
38,6,4
38,8,4
38,10,4
38,12,4
38,14,4
38,16,5
38,18,5
38,20,5
38,22,6
38,24,6
38,26,7
38,28,7
38,30,8
38,32,9
38,34,9
38,36,10
38,38,11
38,40,12
38,42,14
38,44,15
38,46,16
38,48,18
38,50,20
38,52,22
38,54,24
38,56,26
38,58,27
38,60,29
38,62,32
38,64,34
38,66,36
38,68,37
38,70,39
38,72,41
38,74,43
38,76,44
38,78,45
38,80,46
38,82,46
38,84,47
38,86,47
38,88,47
38,90,46
38,92,45
38,94,44
38,96,43
38,98,41
38,100,40
38,102,38
38,104,36
38,106,34
38,108,32
38,110,30
38,112,28
38,114,25
38,116,24
38,118,21
38,120,20
38,122,18
38,124,16
38,126,15
38,128,13
38,130,12
38,132,11
38,134,10
38,136,9
38,138,8
38,140,7
38,142,7
38,144,6
38,146,6
38,148,5
40,0,4
40,2,4
40,4,4
40,6,4
40,8,4
40,10,4
40,12,4
40,14,5
40,16,5
40,18,5
40,20,6
40,22,6
40,24,7
40,26,7
40,28,8
40,30,9
40,32,10
40,34,10
40,36,12
40,38,12
40,40,14
40,42,15
40,44,16
40,46,18
40,48,20
40,50,22
40,52,24
40,54,26
40,56,28
40,58,30
40,60,33
40,62,35
40,64,37
40,66,39
40,68,42
40,70,44
40,72,46
40,74,47
40,76,49
40,78,50
40,80,51
40,82,51
40,84,52
40,86,52
40,88,52
40,90,51
40,92,50
40,94,49
40,96,47
40,98,46
40,100,44
40,102,42
40,104,40
40,106,38
40,108,35
40,110,33
40,112,31
40,114,28
40,116,26
40,118,24
40,120,22
40,122,20
40,124,18
40,126,16
40,128,15
40,130,13
40,132,12
40,134,11
40,136,10
40,138,9
40,140,8
40,142,7
40,144,7
40,146,6
40,148,5
42,0,4
42,2,4
42,4,4
42,6,4
42,8,4
42,10,4
42,12,5
42,14,5
42,16,5
42,18,6
42,20,6
42,22,7
42,24,7
42,26,8
42,28,8
42,30,9
42,32,10
42,34,11
42,36,12
42,38,14
42,40,15
42,42,16
42,44,18
42,46,20
42,48,22
42,50,24
42,52,26
42,54,28
42,56,31
42,58,33
42,60,36
42,62,38
42,64,41
42,66,43
42,68,45
42,70,48
42,72,50
42,74,52
42,76,53
42,78,55
42,80,55
42,82,56
42,84,56
42,86,57
42,88,56
42,90,56
42,92,54
42,94,53
42,96,51
42,98,50
42,100,48
42,102,46
42,104,43
42,106,41
42,108,38
42,110,36
42,112,33
42,114,30
42,116,28
42,118,26
42,120,24
42,122,22
42,124,20
42,126,18
42,128,16
42,130,14
42,132,13
42,134,12
42,136,11
42,138,10
42,140,9
42,142,8
42,144,7
42,146,7
42,148,6
44,0,4
44,2,4
44,4,4
44,6,4
44,8,5
44,10,5
44,12,5
44,14,5
44,16,6
44,18,6
44,20,7
44,22,7
44,24,8
44,26,8
44,28,9
44,30,10
44,32,11
44,34,12
44,36,13
44,38,14
44,40,16
44,42,18
44,44,19
44,46,21
44,48,23
44,50,25
44,52,28
44,54,30
44,56,33
44,58,36
44,60,38
44,62,41
44,64,43
44,66,46
44,68,49
44,70,51
44,72,53
44,74,56
44,76,57
44,78,59
44,80,59
44,82,60
44,84,61
44,86,60
44,88,60
44,90,60
44,92,58
44,94,57
44,96,55
44,98,53
44,100,51
44,102,49
44,104,46
44,106,44
44,108,41
44,110,38
44,112,35
44,114,33
44,116,30
44,118,27
44,120,25
44,122,23
44,124,21
44,126,19
44,128,17
44,130,16
44,132,14
44,134,13
44,136,11
44,138,10
44,140,9
44,142,8
44,144,8
44,146,7
44,148,7
46,0,4
46,2,4
46,4,4
46,6,5
46,8,5
46,10,5
46,12,5
46,14,6
46,16,6
46,18,6
46,20,7
46,22,7
46,24,8
46,26,9
46,28,10
46,30,10
46,32,12
46,34,13
46,36,14
46,38,16
46,40,17
46,42,19
46,44,20
46,46,22
46,48,25
46,50,27
46,52,30
46,54,32
46,56,35
46,58,38
46,60,41
46,62,43
46,64,46
46,66,49
46,68,51
46,70,54
46,72,56
46,74,58
46,76,60
46,78,62
46,80,63
46,82,64
46,84,64
46,86,64
46,88,64
46,90,63
46,92,61
46,94,60
46,96,58
46,98,56
46,100,54
46,102,51
46,104,49
46,106,46
46,108,43
46,110,40
46,112,37
46,114,34
46,116,32
46,118,29
46,120,27
46,122,24
46,124,22
46,126,20
46,128,18
46,130,16
46,132,15
46,134,13
46,136,12
46,138,11
46,140,10
46,142,9
46,144,8
46,146,7
46,148,7
48,0,4
48,2,4
48,4,4
48,6,5
48,8,5
48,10,5
48,12,6
48,14,6
48,16,6
48,18,7
48,20,7
48,22,8
48,24,8
48,26,9
48,28,10
48,30,11
48,32,12
48,34,13
48,36,14
48,38,16
48,40,18
48,42,20
48,44,22
48,46,24
48,48,26
48,50,28
48,52,31
48,54,34
48,56,37
48,58,40
48,60,42
48,62,45
48,64,48
48,66,51
48,68,53
48,70,56
48,72,58
48,74,60
48,76,62
48,78,64
48,80,65
48,82,66
48,84,66
48,86,66
48,88,66
48,90,65
48,92,64
48,94,62
48,96,60
48,98,58
48,100,56
48,102,53
48,104,51
48,106,48
48,108,45
48,110,42
48,112,39
48,114,36
48,116,33
48,118,30
48,120,28
48,122,25
48,124,23
48,126,21
48,128,19
48,130,17
48,132,16
48,134,14
48,136,13
48,138,11
48,140,10
48,142,9
48,144,9
48,146,8
48,148,7
50,0,4
50,2,5
50,4,4
50,6,5
50,8,5
50,10,5
50,12,6
50,14,6
50,16,6
50,18,7
50,20,8
50,22,8
50,24,9
50,26,10
50,28,10
50,30,12
50,32,13
50,34,14
50,36,15
50,38,17
50,40,19
50,42,20
50,44,22
50,46,24
50,48,27
50,50,29
50,52,32
50,54,34
50,56,37
50,58,40
50,60,43
50,62,46
50,64,49
50,66,52
50,68,55
50,70,57
50,72,60
50,74,62
50,76,64
50,78,65
50,80,66
50,82,67
50,84,68
50,86,68
50,88,67
50,90,66
50,92,65
50,94,64
50,96,62
50,98,59
50,100,57
50,102,54
50,104,52
50,106,49
50,108,46
50,110,43
50,112,39
50,114,37
50,116,34
50,118,31
50,120,28
50,122,26
50,124,24
50,126,22
50,128,20
50,130,18
50,132,16
50,134,14
50,136,13
50,138,12
50,140,11
50,142,10
50,144,9
50,146,8
50,148,7
52,0,4
52,2,5
52,4,4
52,6,5
52,8,5
52,10,6
52,12,6
52,14,6
52,16,7
52,18,7
52,20,8
52,22,8
52,24,9
52,26,10
52,28,11
52,30,12
52,32,13
52,34,14
52,36,16
52,38,17
52,40,19
52,42,20
52,44,23
52,46,24
52,48,27
52,50,29
52,52,32
52,54,35
52,56,38
52,58,41
52,60,44
52,62,47
52,64,50
52,66,52
52,68,55
52,70,58
52,72,60
52,74,62
52,76,64
52,78,66
52,80,67
52,82,68
52,84,68
52,86,68
52,88,67
52,90,67
52,92,65
52,94,64
52,96,62
52,98,60
52,100,57
52,102,55
52,104,52
52,106,49
52,108,46
52,110,43
52,112,40
52,114,37
52,116,34
52,118,31
52,120,29
52,122,26
52,124,24
52,126,22
52,128,20
52,130,18
52,132,16
52,134,15
52,136,13
52,138,12
52,140,11
52,142,10
52,144,9
52,146,8
52,148,8
54,0,4
54,2,5
54,4,5
54,6,5
54,8,5
54,10,5
54,12,6
54,14,6
54,16,7
