x,y,v
0,0,50
0,5,46
0,10,50
0,15,65
0,20,64
0,25,69
0,30,71
0,35,47
0,40,71
0,45,69
0,50,64
0,55,55
0,60,39
0,65,33
0,70,16
0,75,7
0,80,-4
0,85,-16
0,90,-14
0,95,-26
0,100,-31
0,105,-40
0,110,-49
0,115,-58
0,120,-60
0,125,-68
0,130,-72
0,135,-76
0,140,-85
0,145,-83
5,0,41
5,5,45
5,10,81
5,15,87
5,20,94
5,25,97
5,30,100
5,35,100
5,40,99
5,45,96
5,50,89
5,55,83
5,60,74
5,65,67
5,70,56
5,75,45
5,80,34
5,85,23
5,90,12
5,95,1
5,100,-8
5,105,-17
5,110,-25
5,115,-34
5,120,-41
5,125,-47
5,130,-52
5,135,-57
5,140,-61
5,145,-66
10,0,81
10,5,91
10,10,99
10,15,107
10,20,112
10,25,116
10,30,118
10,35,116
10,40,115
10,45,111
10,50,106
10,55,97
10,60,87
10,65,79
10,70,67
10,75,56
10,80,44
10,85,33
10,90,20
10,95,9
10,100,-3
10,105,-12
10,110,-21
10,115,-30
10,120,-38
10,125,-44
10,130,-50
10,135,-56
10,140,-61
10,145,-63
15,0,95
15,5,104
15,10,113
15,15,120
15,20,125
15,25,129
15,30,131
15,35,130
15,40,128
15,45,124
15,50,118
15,55,109
15,60,99
15,65,88
15,70,78
15,75,64
15,80,51
15,85,40
15,90,28
15,95,16
15,100,3
15,105,-6
15,110,-16
15,115,-26
15,120,-34
15,125,-40
15,130,-47
15,135,-53
15,140,-58
15,145,-63
20,0,104
20,5,116
20,10,124
20,15,131
20,20,137
20,25,140
20,30,142
20,35,141
20,40,138
20,45,133
20,50,126
20,55,118
20,60,107
20,65,96
20,70,84
20,75,71
20,80,57
20,85,43
20,90,30
20,95,18
20,100,5
20,105,-4
20,110,-14
20,115,-23
20,120,-31
20,125,-39
20,130,-45
20,135,-51
20,140,-56
20,145,-60
25,0,113
25,5,124
25,10,133
25,15,139
25,20,145
25,25,148
25,30,150
25,35,148
25,40,145
25,45,140
25,50,132
25,55,123
25,60,112
25,65,102
25,70,89
25,75,75
25,80,60
25,85,48
25,90,34
25,95,21
25,100,10
25,105,-1
25,110,-11
25,115,-20
25,120,-30
25,125,-36
25,130,-44
25,135,-50
25,140,-55
25,145,-60
30,0,116
30,5,129
30,10,138
30,15,145
30,20,150
30,25,153
30,30,154
30,35,152
30,40,148
30,45,142
30,50,134
30,55,125
30,60,113
30,65,102
30,70,89
30,75,75
30,80,61
30,85,49
30,90,36
30,95,22
30,100,10
30,105,-1
30,110,-11
30,115,-22
30,120,-29
30,125,-36
30,130,-42
30,135,-49
30,140,-55
30,145,-59
35,0,124
35,5,134
35,10,143
35,15,149
35,20,154
35,25,156
35,30,157
35,35,155
35,40,151
35,45,145
35,50,137
35,55,126
35,60,115
35,65,102
35,70,89
35,75,76
35,80,61
35,85,48
35,90,35
35,95,23
35,100,10
35,105,-1
35,110,-11
35,115,-21
35,120,-29
35,125,-36
35,130,-43
35,135,-49
35,140,-54
35,145,-58
40,0,126
40,5,138
40,10,146
40,15,152
40,20,156
40,25,158
40,30,158
40,35,156
40,40,151
40,45,144
40,50,136
40,55,126
40,60,113
40,65,102
40,70,88
40,75,74
40,80,61
40,85,47
40,90,35
40,95,21
40,100,10
40,105,0
40,110,-12
40,115,-22
40,120,-29
40,125,-36
40,130,-43
40,135,-49
40,140,-54
40,145,-58
45,0,128
45,5,138
45,10,146
45,15,151
45,20,155
45,25,157
45,30,157
45,35,154
45,40,148
45,45,141
45,50,133
45,55,122
45,60,110
45,65,98
45,70,84
45,75,70
45,80,57
45,85,44
45,90,31
45,95,19
45,100,7
45,105,-3
45,110,-13
45,115,-22
45,120,-29
45,125,-37
45,130,-42
45,135,-48
45,140,-53
45,145,-58
50,0,127
50,5,137
50,10,144
50,15,149
50,20,151
50,25,153
50,30,152
50,35,149
50,40,143
50,45,136
50,50,127
50,55,116
50,60,104
50,65,93
50,70,80
50,75,66
50,80,53
50,85,40
50,90,28
50,95,15
50,100,4
50,105,-5
50,110,-14
50,115,-24
50,120,-32
50,125,-38
50,130,-45
50,135,-50
50,140,-54
50,145,-58
55,0,124
55,5,133
55,10,139
55,15,144
55,20,147
55,25,148
55,30,146
55,35,142
55,40,136
55,45,129
55,50,121
55,55,110
55,60,99
55,65,87
55,70,74
55,75,60
55,80,47
55,85,35
55,90,24
55,95,12
55,100,1
55,105,-8
55,110,-16
55,115,-26
55,120,-33
55,125,-39
55,130,-48
55,135,-50
55,140,-56
55,145,-59
60,0,117
60,5,126
60,10,132
60,15,135
60,20,138
60,25,138
60,30,138
60,35,134
60,40,127
60,45,121
60,50,112
60,55,101
60,60,90
60,65,78
60,70,67
60,75,53
60,80,42
60,85,29
60,90,18
60,95,7
60,100,-3
60,105,-11
60,110,-20
60,115,-28
60,120,-34
60,125,-40
60,130,-46
60,135,-51
60,140,-56
60,145,-59
65,0,106
65,5,113
65,10,119
65,15,122
65,20,124
65,25,124
65,30,122
65,35,119
65,40,113
65,45,106
65,50,98
65,55,88
65,60,78
65,65,66
65,70,55
65,75,44
65,80,32
65,85,22
65,90,11
65,95,1
65,100,-9
65,105,-17
65,110,-25
65,115,-32
65,120,-39
65,125,-43
65,130,-48
65,135,-53
65,140,-58
65,145,-60
70,0,91
70,5,98
70,10,102
70,15,105
70,20,106
70,25,105
70,30,104
70,35,100
70,40,96
70,45,88
70,50,81
70,55,72
70,60,62
70,65,53
70,70,43
70,75,31
70,80,21
70,85,12
70,90,3
70,95,-6
70,100,-15
70,105,-23
70,110,-30
70,115,-36
70,120,-42
70,125,-47
70,130,-51
70,135,-56
70,140,-60
70,145,-63
75,0,71
75,5,77
75,10,81
75,15,83
75,20,85
75,25,84
75,30,82
75,35,79
75,40,75
75,45,69
75,50,62
75,55,54
75,60,46
75,65,37
75,70,27
75,75,18
75,80,9
75,85,1
75,90,-7
75,95,-14
75,100,-22
75,105,-28
75,110,-35
75,115,-40
75,120,-46
75,125,-50
75,130,-55
75,135,-58
75,140,-62
75,145,-64
80,0,47
80,5,52
80,10,56
80,15,57
80,20,58
80,25,57
80,30,56
80,35,52
80,40,49
80,45,44
80,50,39
80,55,33
80,60,25
80,65,18
80,70,11
80,75,3
80,80,-5
80,85,-10
80,90,-17
80,95,-24
80,100,-29
80,105,-35
80,110,-40
80,115,-45
80,120,-49
80,125,-53
80,130,-57
80,135,-59
80,140,-63
80,145,-64
85,0,19
85,5,23
85,10,26
85,15,26
85,20,27
85,25,27
85,30,25
85,35,22
85,40,20
85,45,16
85,50,13
85,55,7
85,60,3
85,65,-3
85,70,-9
85,75,-14
85,80,-19
85,85,-25
85,90,-31
85,95,-36
