x,y,v
0,0,1
0,4,4
0,8,5
0,12,7
0,16,7
0,20,9
0,24,10
0,28,11
0,32,10
0,36,10
0,40,8
0,44,4
0,48,-3
0,52,-12
0,56,-27
0,60,-47
0,64,-72
0,68,-106
0,72,-147
0,76,-195
0,80,-242
0,84,-285
0,88,-323
0,92,-355
0,96,-372
0,100,-378
0,104,-380
0,108,-379
0,112,-374
0,116,-358
0,120,-327
0,124,-286
0,128,-235
0,132,-176
0,136,-117
0,140,-67
0,144,-28
0,148,3
4,0,2
4,4,5
4,8,5
4,12,7
4,16,7
4,20,8
4,24,8
4,28,7
4,32,5
4,36,2
4,40,-4
4,44,-14
4,48,-28
4,52,-49
4,56,-79
4,60,-118
4,64,-165
4,68,-225
4,72,-289
4,76,-347
4,80,-380
4,84,-388
4,88,-388
4,92,-386
4,96,-384
4,100,-383
4,104,-382
4,108,-384
4,112,-386
4,116,-388
4,120,-387
4,124,-376
4,128,-329
4,132,-259
4,136,-184
4,140,-118
4,144,-62
4,148,-19
8,0,2
8,4,5
8,8,5
8,12,6
8,16,6
8,20,6
8,24,4
8,28,1
8,32,-3
8,36,-12
8,40,-23
8,44,-42
8,48,-68
8,52,-107
8,56,-157
8,60,-219
8,64,-289
8,68,-361
8,72,-387
8,76,-387
8,80,-382
8,84,-376
8,88,-371
8,92,-369
8,96,-367
8,100,-367
8,104,-368
8,108,-370
8,112,-374
8,116,-379
8,120,-385
8,124,-388
8,128,-378
8,132,-317
8,136,-235
8,140,-157
8,144,-88
8,148,-34
12,0,1
12,4,5
12,8,3
12,12,5
12,16,3
12,20,2
12,24,-2
12,28,-7
12,32,-17
12,36,-30
12,40,-50
12,44,-81
12,48,-124
12,52,-183
12,56,-253
12,60,-330
12,64,-382
12,68,-388
12,72,-379
12,76,-372
12,80,-366
12,84,-362
12,88,-360
12,92,-358
12,96,-358
12,100,-359
12,104,-360
12,108,-362
12,112,-366
12,116,-371
12,120,-377
12,124,-386
12,128,-386
12,132,-349
12,136,-264
12,140,-175
12,144,-99
12,148,-38
16,0,1
16,4,4
16,8,2
16,12,3
16,16,-1
16,20,-3
16,24,-10
16,28,-19
16,32,-33
16,36,-54
16,40,-84
16,44,-130
16,48,-191
16,52,-267
16,56,-348
16,60,-387
16,64,-385
16,68,-373
16,72,-365
16,76,-360
16,80,-357
16,84,-355
16,88,-354
16,92,-353
16,96,-353
16,100,-354
16,104,-356
16,108,-358
16,112,-362
16,116,-367
16,120,-373
16,124,-384
16,128,-388
16,132,-358
16,136,-268
16,140,-175
16,144,-95
16,148,-37
20,0,-1
20,4,3
20,8,-1
20,12,-1
20,16,-5
20,20,-10
20,24,-19
20,28,-33
20,32,-52
20,36,-82
20,40,-123
20,44,-183
20,48,-258
20,52,-342
20,56,-386
20,60,-385
20,64,-372
20,68,-363
20,72,-358
20,76,-354
20,80,-353
20,84,-351
20,88,-351
20,92,-350
20,96,-351
20,100,-352
20,104,-354
20,108,-357
20,112,-360
20,116,-365
20,120,-373
20,124,-384
20,128,-387
20,132,-346
20,136,-250
20,140,-157
20,144,-79
20,148,-29
24,0,-3
24,4,2
24,8,-4
24,12,-4
24,16,-10
24,20,-17
24,24,-30
24,28,-48
24,32,-73
24,36,-109
24,40,-162
24,44,-231
24,48,-315
24,52,-380
24,56,-387
24,60,-375
24,64,-364
24,68,-358
24,72,-353
24,76,-351
24,80,-350
24,84,-349
24,88,-349
24,92,-350
24,96,-351
24,100,-352
24,104,-354
24,108,-358
24,112,-362
24,116,-368
24,120,-377
24,124,-387
24,128,-379
24,132,-303
24,136,-208
24,140,-120
24,144,-56
24,148,-14
28,0,-5
28,4,0
28,8,-7
28,12,-8
28,16,-16
28,20,-25
28,24,-40
28,28,-61
28,32,-91
28,36,-133
28,40,-193
28,44,-267
28,48,-351
28,52,-387
28,56,-383
28,60,-370
28,64,-361
28,68,-356
28,72,-352
28,76,-351
28,80,-350
28,84,-349
28,88,-350
28,92,-350
28,96,-351
28,100,-353
28,104,-357
28,108,-361
28,112,-366
28,116,-375
28,120,-385
28,124,-385
28,128,-330
28,132,-236
28,136,-149
28,140,-77
28,144,-29
28,148,2
32,0,-6
32,4,-2
32,8,-10
32,12,-12
32,16,-21
32,20,-31
32,24,-49
32,28,-70
32,32,-105
32,36,-148
32,40,-212
32,44,-282
32,48,-361
32,52,-388
32,56,-382
32,60,-370
32,64,-362
32,68,-356
32,72,-354
32,76,-352
32,80,-351
32,84,-351
32,88,-351
32,92,-352
32,96,-354
32,100,-358
