x,y,v
0,0,-0.02
0,1,-0.4
0,2,-0.91
0,3,-0.23
0,4,1.06
0,5,0.78
0,6,0.46
0,7,1.29
0,8,2.48
0,9,1.73
1,0,-0.05
1,1,-0.2
1,2,-0.84
1,3,-0.66
1,4,0.90
1,5,1.18
1,6,0.48
1,7,0.77
1,8,1.68
1,9,1.10
2,0,-0.21
2,1,-0.6
2,2,-1.14
2,3,-0.80
2,4,0.15
2,5,0.08
2,6,-0.05
2,7,0.32
2,8,0.37
2,9,0.35
3,0,-0.29
3,1,-0.53
3,2,-1.48
3,3,-2.16
3,4,-1.07
3,5,0.70
3,6,1.62
3,7,2.11
3,8,2.58
3,9,2.39
4,0,-0.14
4,1,-0.56
4,2,-1.39
4,3,-1.70
4,4,-1.48
4,5,-0.70
4,6,0.30
4,7,2.11
4,8,2.91
4,9,2.63
5,0,-0.09
5,1,-0.23
5,2,-0.68
5,3,-1.20
5,4,-1.87
5,5,-2.50
5,6,-2.57
5,7,-1.04
5,8,1.33
5,9,1.73
6,0,-0.09
6,1,-0.02
6,2,-0.50
6,3,-1.29
6,4,-1.99
6,5,-1.39
6,6,-1.09
6,7,0.15
6,8,0.84
6,9,1.01
